Date,BBAS3.SA,ITUB4.SA,VALE3.SA,^BVSP
2019-01-22,16.076038360595703,28.798324584960938,34.388671875,95103.0
2019-01-23,16.40957260131836,28.991384506225586,34.74454116821289,96558.0
2019-01-24,16.326190948486328,28.952795028686523,35.05671691894531,97677.0
2019-01-28,16.116060256958008,29.47020721435547,26.44706153869629,95444.0
2019-01-29,16.653039932250977,29.25395965576172,26.68431282043457,95639.0
2019-01-30,16.869840621948242,29.439319610595703,29.094261169433594,96996.0
2019-01-31,17.296749114990234,29.94902229309082,28.407495498657227,97394.0
2019-02-01,17.380136489868164,29.983806610107422,28.875751495361328,97861.0
2019-02-04,17.710325241088867,30.663658142089844,27.895530700683594,98589.0
2019-02-05,18.227296829223633,29.357990264892578,27.79564094543457,98311.0
2019-02-06,17.116647720336914,28.12187385559082,26.50949478149414,94636.0
2019-02-07,17.230043411254883,28.222312927246094,25.966323852539062,94406.0
2019-02-08,17.253393173217773,28.824922561645508,26.946531295776367,95343.0
2019-02-11,16.74309730529785,28.500438690185547,26.234790802001953,94413.0
2019-02-12,17.773698806762695,29.180307388305664,27.658283233642578,96168.0
2019-02-13,17.370126724243164,28.51589584350586,28.401247024536133,95842.0
2019-02-14,18.25731086730957,29.27301788330078,28.507387161254883,98015.0
2019-02-15,18.280658721923828,28.971717834472656,28.644744873046875,97526.0
2019-02-18,18.100547790527344,28.50817108154297,28.251407623291016,96510.0
2019-02-19,18.17725944519043,29.164854049682617,28.401247024536133,97659.0
2019-02-20,17.66362762451172,28.794034957885742,28.59479331970215,96545.0
2019-02-21,17.743680953979492,29.31937599182129,28.332576751708984,96932.0
2019-02-22,17.90620994567871,28.893306732177734,29.337759017944336,97886.0
2019-02-25,17.612777709960938,28.451936721801758,29.41892433166504,97240.0
2019-02-26,17.707218170166016,28.554397583007812,29.468870162963867,97603.0
2019-02-27,17.504854202270508,28.302188873291016,29.237863540649414,97307.0
2019-02-28,17.06637954711914,27.766260147094727,29.40643310546875,95584.0
2019-03-01,17.30585289001465,27.470577239990234,29.18167495727539,94604.0
2019-03-06,17.076505661010742,27.478471755981445,29.999557495117188,94217.0
2019-03-07,17.40952491760254,27.856943130493164,30.505271911621094,94340.0
2019-03-08,18.02056312561035,28.188081741333008,30.499027252197266,95365.0
2019-03-11,18.57291030883789,29.11062240600586,31.14210319519043,98027.0
2019-03-12,18.46771240234375,29.17369270324707,31.198299407958984,97828.0
2019-03-13,18.751611709594727,29.489099502563477,31.65406608581543,98904.0
2019-03-14,18.609655380249023,29.023887634277344,31.660308837890625,98605.0
