Gmt time,Open,High,Low,Close,Volume
24.06.2018 06:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 06:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 07:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 08:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 09:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 10:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 11:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 12:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 13:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 14:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 15:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 16:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 17:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 18:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:15:00.000,1.16590,1.16590,1.16590,1.16590,0
